country_name,iso3_code,region,income_level,gghed_usd2022_pc,Life expectancy (years),year
Afghanistan,AFG,Asia,Low income,2.6709059596255744,60.175000000000004,2010-2021
Albania,ALB,Europe,Upper middle income,146.41490838051348,77.35000000000001,2010-2021
Algeria,DZA,Africa,Upper middle income,184.8262681491966,75.80833333333334,2010-2021
Angola,AGO,Africa,Lower middle income,61.83561160685443,61.041666666666664,2010-2021
Antigua and Barbuda,ATG,Americas,High income,529.3888123610393,75.89166666666667,2010-2021
Argentina,ARG,Americas,Upper middle income,869.2858136620943,76.20833333333333,2010-2021
Armenia,ARM,Asia,Upper middle income,83.26771247136469,73.825,2010-2021
Australia,AUS,Oceania,High income,4388.36051256782,82.55833333333334,2010-2021
Austria,AUT,Europe,High income,3893.1691461829555,81.06666666666668,2010-2021
Azerbaijan,AZE,Asia,Upper middle income,87.89510494696196,72.8,2010-2021
Bahamas,BHS,Americas,High income,895.1651944382473,72.49166666666666,2010-2021
Bahrain,BHR,Asia,High income,767.6953636901447,75.14166666666667,2010-2021
Bangladesh,BGD,Asia,Lower middle income,8.168873593785616,72.72500000000001,2010-2021
Barbados,BRB,Americas,High income,707.3309317092411,76.29166666666667,2010-2021
Belarus,BLR,Europe,Upper middle income,299.7667653406379,72.99166666666666,2010-2021
Belgium,BEL,Europe,High income,3819.7168576173794,80.78333333333333,2010-2021
Belize,BLZ,Americas,Upper middle income,210.8557391285029,74.24166666666666,2010-2021
Benin,BEN,Africa,Lower middle income,5.763503478030319,62.85833333333333,2010-2021
Bhutan,BTN,Asia,Lower middle income,75.69788989345908,73.24166666666666,2010-2021
Bolivia,BOL,Americas,Lower middle income,144.14584757597584,70.8,2010-2021
Bosnia and Herzegovina,BIH,Europe,Upper middle income,373.7451833122287,76.83333333333333,2010-2021
Botswana,BWA,Africa,Upper middle income,310.77433191337786,61.875,2010-2021
Brazil,BRA,Americas,Upper middle income,346.9979893446514,74.39999999999999,2010-2021
Brunei Darussalam,BRN,Asia,High income,808.9909934800479,76.71666666666667,2010-2021
Bulgaria,BGR,Europe,High income,461.9615443072034,74.175,2010-2021
Burkina Faso,BFA,Africa,Low income,14.702818099554298,61.00833333333333,2010-2021
Burundi,BDI,Africa,Low income,7.492080060174717,62.65,2010-2021
Cabo Verde,CPV,Africa,Lower middle income,117.21837380853252,74.34166666666667,2010-2021
Cambodia,KHM,Asia,Lower middle income,21.589261275152836,68.55,2010-2021
Cameroon,CMR,Africa,Lower middle income,6.865936876593064,59.60833333333333,2010-2021
Canada,CAN,Americas,High income,4140.117422833244,81.56666666666666,2010-2021
Central African Republic,CAF,Africa,Low income,3.7438346104784603,50.93333333333334,2010-2021
Chad,TCD,Africa,Low income,6.7427686109396765,57.86666666666667,2010-2021
Chile,CHL,Americas,High income,590.3833320447939,79.99166666666666,2010-2021
China,CHN,Asia,Upper middle income,253.0506047669603,76.39999999999999,2010-2021
Colombia,COL,Americas,Upper middle income,316.9213297111398,76.95,2010-2021
Comoros,COM,Africa,Lower middle income,10.703487571994211,67.25,2010-2021
Congo,COG,Africa,Lower middle income,29.543877027851483,62.15833333333333,2010-2021
Costa Rica,CRI,Americas,Upper middle income,639.9580390883793,80.11666666666666,2010-2021
Croatia,HRV,Europe,High income,839.4391475374155,77.75833333333334,2010-2021
Cyprus,CYP,Asia,High income,1016.0324520700193,81.79166666666667,2010-2021
Czechia,CZE,Europe,High income,1624.623842496804,78.30833333333334,2010-2021
Côte d’Ivoire,CIV,Africa,Lower middle income,18.137936013942735,60.9,2010-2021
DR Congo,COD,Africa,Low income,2.9427056143702583,60.0,2010-2021
Denmark,DNK,Europe,High income,5331.910412449941,80.54166666666667,2010-2021
Djibouti,DJI,Africa,Lower middle income,39.43516268268944,63.94166666666666,2010-2021
Dominican Republic,DOM,Americas,Upper middle income,219.87510827393234,73.53333333333333,2010-2021
Ecuador,ECU,Americas,Upper middle income,265.45721722882087,76.125,2010-2021
Egypt,EGY,Africa,Lower middle income,44.811663104281116,70.41666666666667,2010-2021
El Salvador,SLV,Americas,Upper middle income,219.60630890098068,73.83333333333333,2010-2021
Equatorial Guinea,GNQ,Africa,Upper middle income,56.22685875471485,60.93333333333334,2010-2021
Eritrea,ERI,Africa,Low income,5.261655306962971,62.49166666666667,2010-2021
Estonia,EST,Europe,High income,1204.6080583957335,77.41666666666667,2010-2021
Eswatini,SWZ,Africa,Lower middle income,122.08591225372815,52.041666666666664,2010-2021
Ethiopia,ETH,Africa,Low income,6.113910237187542,66.825,2010-2021
Fiji,FJI,Oceania,Upper middle income,115.8098882142071,67.49166666666666,2010-2021
Finland,FIN,Europe,High income,3615.319756686728,80.98333333333333,2010-2021
France,FRA,Europe,High income,3270.730148021481,81.94166666666666,2010-2021
Gabon,GAB,Africa,Upper middle income,150.53143887843598,63.85833333333333,2010-2021
Gambia,GMB,Africa,Low income,9.805786243808948,63.84166666666667,2010-2021
Georgia,GEO,Asia,Upper middle income,127.31811335523084,72.68333333333334,2010-2021
Germany,DEU,Europe,High income,4099.066239600513,80.60000000000001,2010-2021
Ghana,GHA,Africa,Lower middle income,35.81578986091723,64.44166666666666,2010-2021
Greece,GRC,Europe,High income,961.3425924157973,80.53333333333333,2010-2021
Grenada,GRD,Americas,Upper middle income,199.60351628097624,72.69166666666666,2010-2021
Guatemala,GTM,Americas,Upper middle income,105.25412770681,71.69166666666666,2010-2021
Guinea,GIN,Africa,Lower middle income,6.9971431265846755,59.75833333333333,2010-2021
Guinea-Bissau,GNB,Africa,Low income,4.558140427652655,57.541666666666664,2010-2021
Guyana,GUY,Americas,High income,174.6152602536224,67.03333333333333,2010-2021
Haiti,HTI,Americas,Lower middle income,8.81860625428826,60.699999999999996,2010-2021
Honduras,HND,Americas,Lower middle income,90.49474736113393,70.27499999999999,2010-2021
Hungary,HUN,Europe,High income,705.2748022698574,75.51666666666667,2010-2021
Iceland,ISL,Europe,High income,4803.851483592515,82.20833333333333,2010-2021
India,IND,Asia,Lower middle income,18.723160438794004,69.06666666666666,2010-2021
Indonesia,IDN,Asia,Upper middle income,49.96596975095367,70.14999999999999,2010-2021
Iran,IRN,Asia,Upper middle income,121.31232061882882,76.89166666666667,2010-2021
Iraq,IRQ,Asia,Upper middle income,109.68706087631818,71.425,2010-2021
Ireland,IRL,Europe,High income,3933.1780225821653,81.19166666666666,2010-2021
Israel,ISR,Asia,High income,2182.7267887170256,81.98333333333333,2010-2021
Italy,ITA,Europe,High income,2172.931927701891,82.325,2010-2021
Jamaica,JAM,Americas,Upper middle income,213.1322566416486,72.73333333333333,2010-2021
Japan,JPN,Asia,High income,2921.208976003889,83.93333333333334,2010-2021
Jordan,JOR,Asia,Lower middle income,184.32775448825987,77.93333333333332,2010-2021
Kazakhstan,KAZ,Asia,Upper middle income,207.34719313392972,71.24166666666666,2010-2021
Kenya,KEN,Africa,Lower middle income,33.54279198338295,64.47500000000001,2010-2021
Kiribati,KIR,Oceania,Lower middle income,138.69466165932798,61.53333333333333,2010-2021
Kuwait,KWT,Asia,High income,1526.802920932051,81.375,2010-2021
Kyrgyzstan,KGZ,Asia,Lower middle income,45.070053215431365,71.49166666666666,2010-2021
Laos,LAO,Asia,Lower middle income,12.879933199735682,66.88333333333334,2010-2021
Latvia,LVA,Europe,High income,678.1841890557863,74.44166666666666,2010-2021
Lebanon,LBN,Asia,Lower middle income,337.42357639860467,78.11666666666666,2010-2021
Lesotho,LSO,Africa,Lower middle income,63.51919776929506,50.083333333333336,2010-2021
Liberia,LBR,Africa,Low income,7.1196440105163346,61.699999999999996,2010-2021
Libya,LBY,Africa,Upper middle income,266.16836245657066,73.04166666666667,2010-2021
Lithuania,LTU,Europe,High income,894.0531008150288,74.53333333333333,2010-2021
Luxembourg,LUX,Europe,High income,5715.392595000959,82.26666666666667,2010-2021
Madagascar,MDG,Africa,Low income,7.745320426221919,63.21666666666667,2010-2021
Malawi,MWI,Africa,Low income,8.8513992790748,61.25,2010-2021
Malaysia,MYS,Asia,Upper middle income,200.63997256601,74.5,2010-2021
Maldives,MDV,Asia,Upper middle income,598.8084693006546,76.46666666666667,2010-2021
Mali,MLI,Africa,Low income,7.733465910903643,60.34166666666667,2010-2021
Malta,MLT,Europe,High income,1626.8713924188014,81.55833333333334,2010-2021
Mauritania,MRT,Africa,Lower middle income,21.501991192607893,69.325,2010-2021
Mauritius,MUS,Africa,Upper middle income,215.1168633677083,73.81666666666666,2010-2021
Mexico,MEX,Americas,Upper middle income,316.0644777767756,74.9,2010-2021
Micronesia,FSM,Oceania,Lower middle income,61.50172727648114,65.39999999999999,2010-2021
Moldova,MDA,Europe,Upper middle income,173.51324885317732,71.16666666666667,2010-2021
Mongolia,MNG,Asia,Upper middle income,111.9776408367777,69.38333333333334,2010-2021
Morocco,MAR,Africa,Lower middle income,65.83736408529215,73.04166666666667,2010-2021
Mozambique,MOZ,Africa,Low income,9.55760083124179,56.01666666666667,2010-2021
Myanmar,MMR,Asia,Lower middle income,7.76704370287002,67.20833333333333,2010-2021
Namibia,NAM,Africa,Upper middle income,199.26698029835566,61.93333333333334,2010-2021
Nepal,NPL,Asia,Lower middle income,11.495400193341522,70.31666666666666,2010-2021
Netherlands,NLD,Europe,High income,3655.4929762431834,81.33333333333333,2010-2021
New Zealand,NZL,Oceania,High income,3083.0796372021814,81.48333333333333,2010-2021
Nicaragua,NIC,Americas,Lower middle income,97.61509830879974,77.33333333333333,2010-2021
Niger,NER,Africa,Low income,8.260030919612637,59.625,2010-2021
Nigeria,NGA,Africa,Lower middle income,10.887806063217191,61.75833333333333,2010-2021
North Macedonia,MKD,Europe,Upper middle income,257.0985453574983,75.19166666666666,2010-2021
Norway,NOR,Europe,High income,8574.458068165062,81.95833333333333,2010-2021
Oman,OMN,Asia,High income,757.3319189963963,73.825,2010-2021
Pakistan,PAK,Asia,Lower middle income,8.984453245191151,65.63333333333334,2010-2021
Palestine,PSE,Asia,Lower middle income,120.81436071282296,74.34166666666667,2010-2021
Panama,PAN,Americas,High income,666.3731110142738,77.85000000000001,2010-2021
Papua New Guinea,PNG,Oceania,Lower middle income,47.67165556855556,65.83333333333333,2010-2021
Paraguay,PRY,Americas,Upper middle income,185.4105236965818,74.68333333333334,2010-2021
Peru,PER,Americas,Upper middle income,208.9232218248716,78.08333333333333,2010-2021
Philippines,PHL,Asia,Lower middle income,46.51170966306134,69.3,2010-2021
Poland,POL,Europe,High income,646.7028093403222,76.95833333333333,2010-2021
Portugal,PRT,Europe,High income,1335.6351845666975,80.74166666666666,2010-2021
Qatar,QAT,Asia,High income,2041.273379976489,76.76666666666667,2010-2021
Romania,ROU,Europe,High income,517.3333022250106,74.575,2010-2021
Russia,RUS,Europe,High income,512.158139596154,71.075,2010-2021
Rwanda,RWA,Africa,Low income,18.075448209203195,66.72500000000001,2010-2021
Samoa,WSM,Oceania,Lower middle income,176.0083482445929,70.175,2010-2021
Sao Tome and Principe,STP,Africa,Lower middle income,61.861005923483845,70.50833333333334,2010-2021
Saudi Arabia,SAU,Asia,High income,1178.9825803147444,76.59166666666667,2010-2021
Senegal,SEN,Africa,Lower middle income,16.262975900638967,67.36666666666666,2010-2021
Serbia,SRB,Europe,Upper middle income,402.27209057198917,74.97500000000001,2010-2021
Seychelles,SYC,Africa,High income,494.33432663289756,73.59166666666665,2010-2021
Sierra Leone,SLE,Africa,Low income,5.736622319134888,58.05833333333334,2010-2021
Singapore,SGP,Asia,High income,1511.1124512461422,82.95833333333333,2010-2021
Slovakia,SVK,Europe,High income,1023.2689114143249,76.48333333333333,2010-2021
Slovenia,SVN,Europe,High income,1530.4476035507032,80.43333333333334,2010-2021
Solomon Islands,SLB,Oceania,Lower middle income,66.0102761152284,65.06666666666666,2010-2021
South Africa,ZAF,Africa,Upper middle income,310.878342902386,62.55833333333334,2010-2021
South Korea,KOR,Asia,High income,1136.057951734552,82.43333333333334,2010-2021
Spain,ESP,Europe,High income,1862.2766517971397,82.39999999999999,2010-2021
Sri Lanka,LKA,Asia,Lower middle income,54.777335129991116,76.61666666666666,2010-2021
St. Lucia,LCA,Americas,Upper middle income,253.00938321827223,75.72500000000001,2010-2021
St. Vincent and the Grenadines,VCT,Americas,Upper middle income,223.71113020488167,72.95833333333333,2010-2021
Sudan,SDN,Africa,Low income,9.871251776325218,68.18333333333334,2010-2021
Suriname,SUR,Americas,Upper middle income,215.26708642973188,72.78333333333333,2010-2021
Sweden,SWE,Europe,High income,4685.364273527468,81.94166666666666,2010-2021
Switzerland,CHE,Europe,High income,3297.7445094281443,82.83333333333333,2010-2021
Syria,SYR,Asia,Low income,18.752254556575974,66.06666666666668,2010-2021
Tajikistan,TJK,Asia,Lower middle income,14.320444856537199,71.925,2010-2021
Tanzania,TZA,Africa,Lower middle income,12.780179902260445,65.0,2010-2021
Thailand,THA,Asia,Upper middle income,179.48171198440187,76.45833333333333,2010-2021
Timor-Leste,TLS,Asia,Lower middle income,56.598723315612254,67.89166666666667,2010-2021
Togo,TGO,Africa,Low income,7.382933849319579,61.800000000000004,2010-2021
Tonga,TON,Oceania,Upper middle income,131.0582343165,72.55,2010-2021
Trinidad and Tobago,TTO,Americas,High income,672.3263442885864,73.84166666666667,2010-2021
Tunisia,TUN,Africa,Lower middle income,135.4969117189742,76.58333333333333,2010-2021
Turkmenistan,TKM,Asia,Upper middle income,119.66178214174376,69.01666666666667,2010-2021
Türkiye,TUR,Asia,Upper middle income,282.1591054937666,76.72500000000001,2010-2021
Uganda,UGA,Africa,Low income,8.097449064668046,63.925000000000004,2010-2021
Ukraine,UKR,Europe,Upper middle income,177.01425825357782,71.78333333333333,2010-2021
United Arab Emirates,ARE,Asia,High income,1309.0805670762095,80.47500000000001,2010-2021
United Kingdom,GBR,Europe,High income,3559.7278233143747,80.625,2010-2021
United States,USA,Americas,High income,5852.903403085827,78.33333333333333,2010-2021
Uruguay,URY,Americas,High income,1093.9191940074174,76.78333333333333,2010-2021
Uzbekistan,UZB,Asia,Lower middle income,43.210738355089916,69.65833333333333,2010-2021
Vanuatu,VUT,Oceania,Lower middle income,64.78056208795084,66.69166666666666,2010-2021
Vietnam,VNM,Asia,Lower middle income,62.50381080035525,73.25833333333334,2010-2021
Yemen,YEM,Asia,Low income,7.9020288725509795,67.60000000000001,2010-2021
Zambia,ZMB,Africa,Lower middle income,29.469693032678936,60.18333333333334,2010-2021
Zimbabwe,ZWE,Africa,Lower middle income,28.977920381552224,56.833333333333336,2010-2021
